Loan Status,Number of Dependents,Education,Self Employed,Income per Annum,Loan Amount,Loan Term,Cibil Score,Residential Assets Value,Commercial Assets Value,Luxury Assets Value,Bank Asset Value
0,2,1,1,6500000,20900000,14,327,8200000,100000,22800000,4700000
0,2,1,0,7700000,15400000,18,524,12900000,5100000,21000000,6600000
0,1,1,0,2600000,6600000,6,506,2300000,1900000,9600000,2100000
0,1,1,0,9200000,18800000,2,351,22400000,2200000,31500000,13000000
0,1,1,0,5700000,12400000,14,396,5400000,7500000,17600000,5600000
0,3,0,0,300000,800000,2,458,500000,0,1100000,200000
0,3,1,1,1700000,3400000,6,488,100000,500000,4500000,1600000
0,4,1,0,7000000,18900000,6,475,1300000,6100000,14700000,5200000
0,1,0,0,2200000,7000000,18,417,2000000,3900000,6500000,1900000
0,1,0,1,2400000,6200000,12,337,3400000,2100000,9400000,2300000
0,0,0,1,600000,1800000,12,511,300000,200000,2200000,400000
0,5,0,1,6400000,20300000,16,348,10000000,10900000,20400000,6900000
0,3,0,0,5100000,14500000,12,306,700000,8800000,11600000,2900000
0,2,1,1,6300000,19500000,18,428,15900000,7200000,19900000,6500000
0,1,0,1,1700000,4500000,20,480,200000,600000,5400000,1900000
0,4,1,0,4300000,11500000,20,337,11100000,6000000,17000000,5200000
0,4,0,0,4400000,17000000,18,302,1000000,2100000,14000000,5700000
0,1,0,1,3900000,7800000,14,349,11200000,500000,11800000,3600000
0,0,1,0,1100000,3300000,10,482,2800000,300000,2900000,1600000
0,2,1,0,2500000,8200000,10,429,1500000,4100000,5900000,2200000
0,4,1,0,500000,1300000,8,471,500000,300000,1500000,700000
0,2,0,1,4800000,16500000,10,350,2000000,6500000,11400000,2900000
0,4,0,0,4900000,10700000,20,321,1200000,400000,11100000,6500000
0,3,1,1,4800000,10100000,4,368,9100000,5100000,16500000,3500000
0,4,1,0,9300000,24900000,14,455,27600000,4700000,35100000,13900000
0,0,1,0,9400000,27900000,6,456,21400000,18500000,35600000,7800000
0,0,1,1,2500000,5800000,18,494,5100000,4400000,8500000,2300000
0,5,1,0,3100000,9400000,10,414,200000,5300000,8000000,2800000
0,5,0,0,9700000,37000000,14,459,28700000,17900000,22800000,5600000
0,5,1,0,3400000,13100000,20,527,900000,4500000,8600000,4000000
0,4,0,0,3500000,10200000,12,333,7600000,6400000,8100000,3400000
0,3,0,0,3200000,10000000,18,532,3300000,100000,9800000,2100000
0,0,1,1,1300000,4800000,4,835,500000,100000,3300000,800000
0,1,0,1,1500000,5900000,16,400,4200000,2400000,4800000,1500000
0,3,1,0,6300000,18300000,18,543,1800000,9400000,17700000,3500000
0,3,0,1,2100000,6100000,8,346,5500000,600000,4500000,2900000
0,0,0,1,8600000,23600000,2,361,25800000,5300000,24700000,7500000
0,5,1,0,3000000,8000000,6,333,3200000,400000,8200000,2200000
0,3,0,1,5200000,16300000,8,335,9500000,7000000,13600000,7300000
0,1,0,1,4000000,15600000,12,436,10400000,2800000,14800000,3200000
0,1,0,0,2400000,5200000,2,371,6100000,3100000,8500000,1400000
0,2,0,1,5500000,18400000,10,515,6800000,4400000,18500000,4100000
0,1,1,0,4700000,11700000,6,308,11800000,1100000,15100000,3700000
0,4,0,1,1400000,5100000,14,312,4000000,1000000,3200000,1400000
0,5,1,1,7600000,20000000,10,522,21500000,1400000,20400000,4300000
0,4,0,1,1400000,4300000,16,447,3600000,1200000,5300000,1000000
0,5,0,1,7600000,18700000,14,509,8500000,8500000,22200000,3700000
0,1,0,0,2300000,6600000,18,513,4600000,900000,9000000,1600000
0,2,0,0,8100000,18500000,6,372,19100000,10200000,31000000,7900000
0,2,1,1,300000,700000,4,411,600000,0,1200000,100000
0,4,1,0,4700000,10800000,20,495,11300000,6800000,17000000,4500000
0,0,0,1,9100000,22000000,12,387,25300000,15600000,31700000,7000000
0,0,0,1,2200000,8000000,14,335,2800000,3700000,6900000,2900000
0,1,1,1,6500000,13900000,8,369,9600000,300000,17200000,8300000
0,1,1,0,4400000,10700000,18,324,2200000,3300000,12700000,5400000
